,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
721,-122.11,37.68,37,1976,481.0,1197,465,2.5772,NEAR BAY,170200
722,-122.1,37.68,38,1779,413.0,1061,400,3.0962,NEAR BAY,180900
723,-122.1,37.67,34,3659,897.0,2479,903,2.9564,NEAR BAY,150500
724,-122.1,37.68,31,1892,428.0,1162,389,3.125,NEAR BAY,167100
725,-122.12,37.68,35,1958,484.0,1146,448,2.95,NEAR BAY,148900
726,-122.12,37.68,40,1553,253.0,724,267,4.38,NEAR BAY,196400
727,-122.12,37.68,37,2412,394.0,975,375,4.0417,NEAR BAY,191100
728,-122.11,37.67,36,2110,389.0,952,370,3.8,NEAR BAY,187500
729,-122.12,37.68,45,2179,401.0,1159,399,3.4839,NEAR BAY,180600
730,-122.13,37.68,45,2457,445.0,1129,422,4.0588,NEAR BAY,182800
731,-122.13,37.68,44,2147,399.0,1175,401,4.1974,NEAR BAY,179300
732,-122.13,37.68,43,1676,340.0,924,328,3.6,NEAR BAY,179400
733,-122.14,37.68,35,2976,518.0,1424,538,4.267,NEAR BAY,210300
734,-122.14,37.67,34,3036,533.0,1366,500,4.2386,NEAR BAY,192300
735,-122.15,37.67,35,2472,398.0,1171,390,5.5797,NEAR BAY,198100
736,-122.14,37.67,36,1487,249.0,641,243,4.0682,NEAR BAY,196200
737,-122.13,37.67,38,2012,347.0,880,332,3.1734,NEAR BAY,181600
738,-122.14,37.67,37,3342,,1635,557,4.7933,NEAR BAY,186900
739,-122.14,37.67,37,3156,534.0,1495,543,4.8125,NEAR BAY,188300
740,-122.13,37.67,40,1748,318.0,914,317,3.8676,NEAR BAY,184000
741,-122.12,37.67,33,3429,681.0,1798,694,3.9395,NEAR BAY,184700
742,-122.13,37.67,42,3592,703.0,1625,665,3.2434,NEAR BAY,179900
743,-122.11,37.67,38,1035,247.0,599,224,3.0917,NEAR BAY,167200
744,-122.11,37.67,32,3028,811.0,2037,703,3.0645,NEAR BAY,165400
745,-122.09,37.67,33,2431,655.0,1854,603,2.7019,NEAR BAY,154000
746,-122.09,37.67,39,2069,500.0,1408,478,3.1115,NEAR BAY,153500
747,-122.09,37.66,40,1340,313.0,766,271,3.4722,NEAR BAY,135400
748,-122.09,37.66,39,1160,259.0,725,274,2.2222,NEAR BAY,158300
749,-122.05,37.68,32,2015,318.0,1019,340,6.1104,NEAR BAY,240700
750,-122.06,37.67,22,3882,816.0,1830,743,4.2733,NEAR BAY,180700
751,-122.07,37.67,27,3239,671.0,1469,616,3.2465,NEAR BAY,230600
752,-122.07,37.67,28,2932,739.0,1198,624,3.2417,NEAR BAY,210800
753,-122.07,37.67,38,2104,409.0,1039,394,3.875,NEAR BAY,165300
754,-122.04,37.67,29,1694,251.0,690,242,6.0501,NEAR BAY,254200
755,-122.04,37.67,18,3000,419.0,1155,415,6.8233,NEAR BAY,332600
756,-122.04,37.66,23,2419,348.0,1066,384,6.3501,NEAR BAY,350000
757,-122.07,37.66,28,2280,610.0,1255,587,2.6719,NEAR BAY,161200
758,-122.07,37.66,21,5031,1168.0,2461,1042,3.875,NEAR BAY,179300
759,-122.08,37.66,33,1547,372.0,1063,356,2.5625,NEAR BAY,154300
760,-122.07,37.65,31,3300,790.0,2181,740,3.016,NEAR BAY,161800
761,-122.08,37.65,17,5018,1439.0,3069,1299,2.7694,NEAR BAY,161900
762,-122.08,37.65,35,1813,393.0,1093,374,3.6818,NEAR BAY,165400
763,-122.08,37.66,37,1997,436.0,1349,437,2.1382,NEAR BAY,166600
764,-122.1,37.66,37,901,191.0,599,206,3.7303,NEAR BAY,149700
765,-122.1,37.66,35,686,142.0,480,149,3.875,NEAR BAY,162100
766,-122.1,37.66,33,1954,464.0,1293,448,3.0489,NEAR BAY,152600
767,-122.09,37.65,27,2630,722.0,1414,634,2.8203,NEAR BAY,195200
768,-122.09,37.65,35,1130,192.0,543,184,4.3897,NEAR BAY,190600
769,-122.09,37.65,35,1184,200.0,572,194,4.7143,NEAR BAY,193800
770,-122.1,37.66,34,656,115.0,342,112,4.6875,NEAR BAY,200600
771,-122.11,37.66,29,2544,643.0,2332,603,3.2091,NEAR BAY,150000
772,-122.1,37.66,36,1305,225.0,768,234,4.275,NEAR BAY,185300
773,-122.11,37.66,36,1755,316.0,913,299,4.1302,NEAR BAY,172700
774,-122.11,37.66,35,2843,652.0,1726,643,3.09,NEAR BAY,174100
775,-122.1,37.65,25,2538,494.0,1185,501,4.5417,NEAR BAY,194400
776,-122.1,37.64,28,1784,311.0,735,278,4.6635,NEAR BAY,206700
777,-122.1,37.65,31,1797,327.0,796,319,4.4427,NEAR BAY,204500
778,-122.1,37.65,36,410,76.0,252,82,4.5303,NEAR BAY,175000
779,-122.12,37.65,26,162,27.0,86,25,2.375,NEAR BAY,137500
780,-122.1,37.63,18,9963,2031.0,5613,1946,3.8171,NEAR BAY,187200
781,-122.1,37.61,35,2361,458.0,1727,467,4.5281,NEAR BAY,173600
782,-122.13,37.66,19,862,167.0,407,183,4.3456,NEAR BAY,163000
783,-122.11,37.65,18,4335,808.0,2041,734,3.4861,NEAR BAY,331600
784,-122.11,37.64,31,1487,280.0,854,301,5.2312,NEAR BAY,197600
785,-122.11,37.64,8,3592,849.0,1907,746,3.6708,NEAR BAY,197900
786,-122.12,37.64,40,432,102.0,264,77,3.8875,NEAR BAY,228100
787,-122.09,37.63,34,1457,242.0,735,249,3.9167,NEAR BAY,189500
788,-122.09,37.64,32,1578,284.0,836,292,3.9063,NEAR BAY,184200
789,-122.1,37.63,29,2172,435.0,1377,408,3.7895,NEAR BAY,180900
790,-122.08,37.64,36,1340,245.0,789,248,3.8,NEAR BAY,172000
791,-122.08,37.64,36,1116,199.0,662,226,5.7309,NEAR BAY,177900
792,-122.09,37.64,36,1885,307.0,853,271,4.1141,NEAR BAY,173100
793,-122.09,37.64,36,1180,212.0,664,200,5.2838,NEAR BAY,172600
794,-122.08,37.64,30,5267,1253.0,4065,1113,3.3479,NEAR BAY,182100
795,-122.08,37.64,23,1897,440.0,1109,418,3.142,NEAR BAY,179500
796,-122.08,37.63,31,767,171.0,548,185,3.7614,NEAR BAY,176000
797,-122.08,37.63,33,691,127.0,431,149,4.25,NEAR BAY,192600
798,-122.08,37.64,36,786,133.0,463,160,3.9338,NEAR BAY,182700
799,-122.07,37.64,22,5861,1516.0,5436,1463,2.5158,NEAR BAY,134900
800,-122.07,37.63,27,2784,723.0,2028,693,2.4808,NEAR BAY,157600
801,-122.07,37.64,25,4524,860.0,2426,862,4.7083,NEAR BAY,190900
802,-122.06,37.64,37,1468,304.0,1038,282,4.1652,NEAR BAY,158200
803,-122.06,37.64,20,1655,450.0,857,430,3.5541,NEAR BAY,350000
804,-122.06,37.65,33,1227,286.0,848,291,3.8036,NEAR BAY,158200
805,-122.06,37.64,33,1160,252.0,729,220,3.8259,NEAR BAY,146100
806,-122.04,37.63,33,952,172.0,369,159,3.2331,NEAR BAY,226700
807,-122.03,37.62,35,2072,352.0,1001,350,4.7109,NEAR BAY,198700
808,-122.03,37.62,32,2964,547.0,1472,527,4.2468,NEAR BAY,221200
809,-122.04,37.62,35,1032,173.0,453,176,6.396,NEAR BAY,208500
810,-122.04,37.62,35,657,118.0,328,134,3.8125,NEAR BAY,204200
811,-122.04,37.62,32,1540,324.0,793,302,3.2857,NEAR BAY,193200
812,-122.03,37.62,35,1298,236.0,632,204,3.8929,NEAR BAY,209500
813,-122.03,37.61,36,1409,271.0,1002,281,3.7262,NEAR BAY,164900
814,-122.03,37.61,37,1383,259.0,808,241,4.0125,NEAR BAY,161400
815,-122.04,37.61,36,1151,216.0,727,215,4.1719,NEAR BAY,187000
816,-122.04,37.62,35,899,179.0,455,185,4.2857,NEAR BAY,190400
817,-122.08,37.63,37,1793,364.0,1534,346,3.6458,NEAR BAY,156600
818,-122.08,37.62,17,2485,518.0,1139,550,2.6875,NEAR BAY,157300
819,-122.07,37.63,35,1931,376.0,1175,337,3.7292,NEAR BAY,168100
820,-122.07,37.63,24,2329,465.0,1401,453,4.5913,NEAR BAY,177600
821,-122.06,37.63,12,6711,1374.0,3388,1289,3.8625,NEAR BAY,208900
822,-122.06,37.63,23,1939,356.0,841,364,3.3611,NEAR BAY,169200
823,-122.05,37.61,16,1642,346.0,705,351,2.8971,NEAR BAY,163900
824,-122.08,37.63,34,1619,293.0,1148,310,4.0326,NEAR BAY,164700
825,-122.08,37.63,35,517,108.0,391,107,4.0682,NEAR BAY,156900
826,-122.09,37.63,36,1570,274.0,992,249,5.3644,NEAR BAY,168800
827,-122.09,37.63,35,1213,221.0,790,243,4.7019,NEAR BAY,174100
828,-122.08,37.62,27,1826,309.0,1016,313,5.64,NEAR BAY,206500
829,-122.08,37.61,26,2261,443.0,1039,395,3.7931,NEAR BAY,203900
830,-121.99,37.61,9,3666,711.0,2341,703,4.6458,<1H OCEAN,217000
831,-122.02,37.6,36,1633,345.0,1382,338,3.694,NEAR BAY,159600
832,-122.02,37.6,31,2155,522.0,1858,437,2.652,NEAR BAY,159800
833,-122.02,37.6,32,1295,280.0,1156,300,3.5,NEAR BAY,154300
834,-122.02,37.6,32,1295,295.0,1097,328,3.2386,NEAR BAY,149600
835,-122.03,37.61,33,1518,302.0,831,268,5.097,NEAR BAY,188600
836,-122.04,37.6,17,3314,638.0,1873,602,4.3875,NEAR BAY,238500
837,-122.06,37.6,22,3009,497.0,1640,514,4.625,NEAR BAY,235300
838,-122.08,37.61,6,2605,474.0,1568,433,5.0406,NEAR BAY,261400
839,-122.06,37.6,17,5159,832.0,3174,817,5.8704,NEAR BAY,234400
840,-122.06,37.6,18,1726,276.0,1186,310,5.3226,NEAR BAY,231700
841,-122.08,37.59,16,1816,365.0,1367,355,4.235,NEAR BAY,156300
842,-122.07,37.59,13,2578,551.0,1680,528,4.825,NEAR BAY,222000
843,-122.08,37.58,15,2576,418.0,1657,410,5.5218,NEAR BAY,254400
844,-122.07,37.58,16,1644,251.0,1033,267,6.5116,NEAR BAY,244300
845,-122.07,37.58,16,1606,240.0,1117,268,6.0661,NEAR BAY,247000
846,-122.08,37.58,16,3349,544.0,2003,488,6.0074,NEAR BAY,236500
847,-122.07,37.59,15,3475,686.0,2568,653,4.6211,NEAR BAY,151400
848,-122.07,37.58,16,1893,338.0,1461,344,5.225,NEAR BAY,213700
849,-122.04,37.59,14,1727,302.0,1116,273,5.3428,NEAR BAY,243600
850,-122.05,37.59,15,6243,1273.0,3163,1274,3.7462,NEAR BAY,212500
851,-122.03,37.6,24,2077,383.0,1488,389,4.5721,NEAR BAY,214700
852,-122.02,37.59,18,1165,333.0,855,319,3.6923,NEAR BAY,213200
853,-122.03,37.59,16,4371,889.0,2530,817,4.6786,NEAR BAY,256000
854,-122.01,37.59,2,838,295.0,240,149,2.875,NEAR BAY,237500
855,-122.02,37.58,15,3052,760.0,2097,728,3.3617,NEAR BAY,178100
856,-122.01,37.58,17,4313,717.0,2629,721,5.7579,NEAR BAY,231800
857,-122.09,37.6,36,385,94.0,295,92,2.9706,NEAR BAY,147900
858,-122.08,37.6,10,3046,678.0,2056,628,3.9022,NEAR BAY,191700
859,-121.97,37.57,21,4342,783.0,2172,789,4.6146,<1H OCEAN,247600
860,-121.96,37.58,15,3575,597.0,1777,559,5.7192,<1H OCEAN,283500
861,-121.98,37.58,20,4126,1031.0,2079,975,3.6832,<1H OCEAN,216900
862,-121.99,37.58,31,2878,478.0,1276,485,6.2073,<1H OCEAN,282500
863,-122.0,37.58,6,4405,717.0,2071,688,5.8151,<1H OCEAN,295600
864,-122.01,37.57,14,16199,2993.0,8117,2847,5.8322,NEAR BAY,281800
865,-122.04,37.58,14,14917,2708.0,8012,2606,5.6277,NEAR BAY,269800
866,-122.04,37.57,12,5719,1064.0,3436,1057,5.2879,NEAR BAY,231200
867,-122.07,37.57,8,8647,1407.0,5019,1379,6.5615,NEAR BAY,318300
868,-122.06,37.58,15,8112,1376.0,4576,1348,5.6758,NEAR BAY,253400
869,-122.05,37.57,7,10648,1818.0,6075,1797,6.1047,NEAR BAY,278200
870,-121.93,37.49,5,1150,311.0,648,245,3.5714,<1H OCEAN,300000
871,-122.07,37.52,3,14014,2861.0,7205,2753,6.0824,NEAR BAY,273500
872,-122.02,37.56,23,4332,857.0,2461,829,4.3594,NEAR BAY,223400
873,-122.02,37.56,35,1716,312.0,914,316,5.5737,NEAR BAY,214500
874,-122.03,37.56,31,4981,964.0,2841,924,4.8962,NEAR BAY,220200
875,-122.03,37.56,24,8444,1492.0,4446,1491,4.6978,NEAR BAY,240300
876,-122.01,37.56,6,3028,778.0,1531,736,4.4259,NEAR BAY,158000
877,-122.01,37.55,26,2068,532.0,1434,495,3.3008,NEAR BAY,224200
878,-122.02,37.55,33,1325,274.0,909,267,4.5687,NEAR BAY,177200
879,-122.01,37.56,24,2563,485.0,1174,501,3.8179,NEAR BAY,216100
880,-121.99,37.56,18,5505,1005.0,2641,971,5.0,<1H OCEAN,269700
881,-121.99,37.56,20,6462,1294.0,3288,1235,4.3393,<1H OCEAN,231200
882,-121.96,37.55,4,3746,993.0,1606,838,4.1387,<1H OCEAN,162500
883,-121.97,37.56,13,8918,1823.0,4518,1772,4.8052,<1H OCEAN,254000
884,-121.97,37.54,31,1949,344.0,986,322,4.6349,<1H OCEAN,196200
885,-121.97,37.55,17,4924,1247.0,3080,1182,3.168,<1H OCEAN,189400
886,-121.98,37.54,17,5133,1375.0,3386,1339,3.1326,<1H OCEAN,220800
887,-121.99,37.55,16,6647,2098.0,4649,1903,2.9074,<1H OCEAN,213800
888,-121.94,37.56,15,5674,748.0,2412,714,8.3996,<1H OCEAN,442900
889,-121.95,37.55,21,10687,1540.0,4552,1520,6.6478,<1H OCEAN,333400
890,-121.93,37.54,25,1354,192.0,596,220,6.629,<1H OCEAN,352400
891,-121.94,37.54,27,3715,526.0,1631,538,6.2179,<1H OCEAN,305300
892,-121.94,37.53,33,2095,342.0,941,304,5.761,<1H OCEAN,259600
893,-121.95,37.54,29,3517,645.0,1724,585,4.6641,<1H OCEAN,248900
894,-121.94,37.54,31,2537,382.0,1067,410,6.7599,<1H OCEAN,356000
895,-121.96,37.54,14,5106,1207.0,2738,1108,3.9909,<1H OCEAN,236000
896,-121.96,37.53,23,2215,475.0,1278,492,4.2955,<1H OCEAN,218800
897,-121.96,37.53,28,2949,529.0,1538,545,4.9615,<1H OCEAN,228000
898,-121.96,37.53,18,2375,652.0,1252,586,2.6198,<1H OCEAN,235900
899,-121.97,37.54,28,2312,496.0,1344,467,4.7135,<1H OCEAN,203200
900,-121.97,37.53,35,2277,420.0,1353,413,4.75,<1H OCEAN,197000
901,-121.97,37.53,26,2506,387.0,1273,406,5.4299,<1H OCEAN,236400
902,-121.98,37.53,28,2829,566.0,1610,540,4.6,<1H OCEAN,223200
903,-121.98,37.53,26,3179,703.0,2142,639,4.1947,<1H OCEAN,222700
904,-121.99,37.54,26,2332,371.0,1285,404,5.388,<1H OCEAN,225000
905,-121.99,37.54,18,3584,715.0,1673,661,3.9444,<1H OCEAN,240100
906,-121.99,37.54,28,3046,507.0,1772,516,5.3283,<1H OCEAN,227900
907,-121.99,37.55,28,2414,415.0,1106,453,4.8403,<1H OCEAN,268600
908,-122.0,37.54,29,4133,744.0,2023,749,5.1616,<1H OCEAN,275100
909,-122.01,37.55,34,2791,495.0,1276,468,4.9167,NEAR BAY,256300
910,-122.0,37.55,27,6103,1249.0,3026,1134,4.1591,<1H OCEAN,332400
911,-122.01,37.54,32,2572,406.0,1128,395,5.0,NEAR BAY,287600
912,-122.0,37.54,26,1910,371.0,852,357,5.8325,<1H OCEAN,298900
913,-122.01,37.53,27,1890,303.0,889,314,5.7057,NEAR BAY,287600
914,-121.99,37.53,25,5405,939.0,2831,923,5.0423,<1H OCEAN,222200
915,-121.97,37.52,26,3761,623.0,1776,613,4.5317,<1H OCEAN,232600
916,-121.97,37.51,25,3333,511.0,1671,504,5.4359,<1H OCEAN,258300
917,-121.97,37.52,23,4925,948.0,2530,894,5.0824,<1H OCEAN,230900
918,-121.95,37.52,33,3994,764.0,2721,763,5.2308,<1H OCEAN,196900
919,-121.96,37.51,22,5811,1125.0,3215,1086,4.4107,<1H OCEAN,223500
920,-121.96,37.52,26,4211,741.0,2352,734,5.2396,<1H OCEAN,223900
921,-121.93,37.53,27,5532,973.0,2855,960,4.7478,<1H OCEAN,243500
922,-121.92,37.53,7,28258,3864.0,12203,3701,8.4045,<1H OCEAN,451100
923,-121.89,37.49,9,4909,577.0,1981,591,9.7194,<1H OCEAN,500001
924,-121.92,37.49,10,7441,1588.0,3571,1466,5.1643,<1H OCEAN,193100
925,-121.92,37.48,23,4314,676.0,1972,623,5.3813,<1H OCEAN,264400
926,-121.92,37.47,26,2016,322.0,1105,357,6.0878,<1H OCEAN,246900
927,-121.91,37.47,13,5377,744.0,2759,760,6.868,<1H OCEAN,337300
928,-122.03,37.55,22,9167,1373.0,4319,1404,6.992,NEAR BAY,284800
929,-122.03,37.55,26,3087,532.0,1597,483,4.9118,NEAR BAY,217300
930,-122.04,37.55,23,3170,532.0,1446,515,4.4357,NEAR BAY,291700
931,-122.04,37.54,26,2145,369.0,1285,377,4.9464,NEAR BAY,223800
932,-122.05,37.54,25,4209,731.0,2568,703,5.2882,NEAR BAY,223100
933,-122.05,37.55,23,4247,835.0,2357,823,5.1321,NEAR BAY,211300
934,-122.04,37.53,25,4458,922.0,2998,890,3.9667,NEAR BAY,218500
935,-122.04,37.5,17,407,97.0,307,100,3.1696,NEAR BAY,156300
936,-122.06,37.54,20,6483,1068.0,3526,1060,5.0838,NEAR BAY,248200
937,-122.03,37.54,35,1867,343.0,1213,338,4.8214,NEAR BAY,186000
938,-122.03,37.54,6,2918,672.0,1911,639,4.1406,NEAR BAY,178200
939,-122.04,37.53,34,2316,478.0,1524,467,3.7364,NEAR BAY,190400
940,-122.02,37.54,31,1240,264.0,719,236,3.535,NEAR BAY,210300
941,-122.03,37.54,16,4458,856.0,3038,870,5.0739,NEAR BAY,208000
942,-122.03,37.53,18,1746,437.0,1268,404,3.256,NEAR BAY,183300
943,-122.01,37.53,19,4572,712.0,2346,709,6.0667,NEAR BAY,245700
944,-122.02,37.53,21,4280,673.0,2216,681,5.7072,NEAR BAY,242200
945,-122.0,37.51,7,6352,1390.0,3223,1316,4.9867,<1H OCEAN,181700
946,-121.92,37.72,4,7477,1576.0,2937,1506,5.1437,<1H OCEAN,299400
947,-121.92,37.72,22,4638,716.0,2302,687,5.347,<1H OCEAN,219500
948,-121.91,37.71,25,4377,668.0,2038,671,5.7233,<1H OCEAN,231800
949,-121.93,37.72,26,3816,637.0,1935,642,4.4697,<1H OCEAN,221300
950,-121.93,37.72,26,2806,459.0,1453,444,4.9107,<1H OCEAN,213800
951,-121.93,37.71,26,4822,845.0,2288,805,4.2281,<1H OCEAN,206000
952,-121.94,37.71,15,6473,1027.0,2484,970,5.0143,<1H OCEAN,271100
953,-121.96,37.71,6,8072,1050.0,3386,1062,7.2494,<1H OCEAN,336500
954,-121.92,37.64,46,1280,209.0,512,208,5.1406,INLAND,315600
955,-121.93,37.66,24,3166,424.0,1081,400,8.3337,<1H OCEAN,500001
956,-121.92,37.69,13,3742,555.0,1590,559,7.316,<1H OCEAN,285400
957,-121.9,37.66,18,7397,1137.0,3126,1115,6.4994,INLAND,323000
958,-121.92,37.68,23,1655,223.0,706,219,7.2211,<1H OCEAN,291900
959,-121.93,37.7,3,2456,582.0,793,456,4.4087,<1H OCEAN,225600
960,-121.91,37.69,23,2179,308.0,926,299,5.9345,<1H OCEAN,259600
961,-121.91,37.68,20,1804,254.0,831,260,6.177,<1H OCEAN,262900
962,-121.91,37.68,18,3631,547.0,1700,520,5.817,<1H OCEAN,257300
963,-121.91,37.69,18,2876,423.0,1395,427,6.3132,<1H OCEAN,259200
964,-121.89,37.68,12,7490,1207.0,3329,1136,6.3373,<1H OCEAN,339700
965,-121.88,37.68,23,2234,270.0,854,286,7.333,INLAND,337200
966,-121.89,37.68,22,1898,239.0,734,245,6.2918,<1H OCEAN,334100
967,-121.88,37.67,16,4070,624.0,1543,577,6.5214,INLAND,311500
968,-121.88,37.67,25,2244,301.0,937,324,6.4524,INLAND,296900
969,-121.89,37.67,20,2948,471.0,1181,474,6.0604,INLAND,247900
970,-121.89,37.67,19,2034,288.0,852,295,6.5285,INLAND,300400
971,-121.9,37.67,15,2130,273.0,876,285,7.2639,<1H OCEAN,332400
972,-121.9,37.67,7,9540,1294.0,3926,1229,7.4353,<1H OCEAN,389800
973,-121.88,37.66,29,2702,680.0,1360,642,3.1127,INLAND,233000
974,-121.87,37.66,39,522,116.0,161,102,2.4896,INLAND,238500
975,-121.87,37.66,52,775,134.0,315,123,5.0677,INLAND,233300
976,-121.89,37.66,3,1565,464.0,769,461,2.1187,INLAND,231300
977,-121.88,37.64,20,1309,184.0,514,172,10.9506,INLAND,475800
978,-121.87,37.57,13,5519,833.0,2444,825,7.0691,<1H OCEAN,393200
979,-121.87,37.67,10,4337,800.0,1813,743,5.5,INLAND,247200
980,-121.87,37.67,28,1812,294.0,853,278,4.9879,INLAND,229400
981,-121.85,37.68,4,4719,741.0,1895,742,6.8132,INLAND,282500
982,-121.85,37.66,14,4236,701.0,1833,663,5.6399,INLAND,300600
983,-121.86,37.66,22,3634,664.0,1699,640,4.1597,INLAND,293200
984,-121.87,37.66,27,1569,242.0,583,214,5.7519,INLAND,278500
985,-121.84,37.66,13,13182,2074.0,4847,1950,5.6417,INLAND,352900
986,-121.85,37.72,43,228,40.0,83,42,10.3203,INLAND,400000
987,-121.82,37.73,47,127,23.0,51,21,4.3472,INLAND,375000
988,-121.86,37.7,13,9621,1344.0,4389,1391,6.6827,INLAND,313700
989,-121.89,37.69,4,6159,1510.0,2649,1241,3.62,<1H OCEAN,139300
990,-121.77,37.65,16,4290,554.0,1952,576,7.3588,INLAND,327500
991,-121.62,37.61,26,1786,306.0,771,279,5.7239,INLAND,430600
992,-121.61,37.77,32,404,74.0,144,58,4.2083,INLAND,125000
993,-121.72,37.7,17,1671,352.0,729,252,6.1023,INLAND,450000
994,-121.73,37.71,12,5608,1049.0,2595,1067,3.9864,INLAND,200200
995,-121.75,37.71,11,12070,2220.0,5826,2125,4.8624,INLAND,192400
996,-121.77,37.74,25,494,81.0,254,85,9.1531,INLAND,418800
997,-121.8,37.7,22,5533,943.0,2474,910,4.7361,INLAND,216800
998,-121.8,37.69,17,3956,639.0,2222,662,5.4324,INLAND,215500
999,-121.82,37.69,12,1906,351.0,802,319,4.9375,INLAND,227700
1000,-121.76,37.69,29,3433,711.0,1919,709,3.3841,INLAND,184400
1001,-121.77,37.68,36,1687,372.0,950,372,3.5532,INLAND,158400
1002,-121.78,37.69,34,2358,498.0,1157,461,3.3618,INLAND,174600
1003,-121.78,37.69,35,2853,588.0,1761,572,4.3533,INLAND,168400
1004,-121.79,37.69,25,6296,1082.0,3200,1047,4.5357,INLAND,188400
1005,-121.76,37.7,9,3980,736.0,1705,679,5.7068,INLAND,256700
1006,-121.75,37.69,26,2647,536.0,1422,522,3.7212,INLAND,183800
1007,-121.75,37.68,35,1755,299.0,702,263,5.2443,INLAND,183400
1008,-121.76,37.68,35,1864,357.0,1189,349,4.2361,INLAND,177500
1009,-121.76,37.68,32,1078,207.0,555,197,3.1856,INLAND,186900
1010,-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,INLAND,238900
1011,-121.78,37.68,17,3112,872.0,1392,680,3.0222,INLAND,172500
1012,-121.77,37.68,44,495,112.0,277,109,2.6667,INLAND,179200
1013,-121.76,37.68,52,2157,418.0,929,419,3.7301,INLAND,204400
1014,-121.77,37.68,41,1501,299.0,629,288,4.6806,INLAND,209400
1015,-121.77,37.67,20,8068,1217.0,3489,1259,5.7907,INLAND,264200
1016,-121.76,37.67,6,3023,518.0,1225,468,6.3705,INLAND,350000
1017,-121.78,37.67,26,2211,344.0,1024,321,5.2649,INLAND,199800
1018,-121.79,37.67,26,2163,339.0,947,346,6.0797,INLAND,211000
1019,-121.78,37.67,28,1773,278.0,804,269,4.8571,INLAND,201100
1020,-121.78,37.66,25,1947,418.0,900,354,3.8523,INLAND,193000
1021,-121.79,37.66,22,14701,2210.0,6693,2232,5.98,INLAND,245000
1022,-119.78,38.69,17,1364,282.0,338,152,2.45,INLAND,117600
1023,-119.93,38.72,15,2061,465.0,573,196,2.2417,INLAND,97900
1024,-120.0,38.52,16,3045,543.0,202,102,3.15,INLAND,140600
1025,-120.56,38.48,14,3545,702.0,946,411,3.4609,INLAND,120900
1026,-120.59,38.45,13,2944,558.0,1091,466,3.0,INLAND,119000
1027,-120.55,38.46,16,1443,249.0,435,181,3.2031,INLAND,129200
1028,-120.55,38.45,17,2277,474.0,767,356,2.5208,INLAND,99100
1029,-120.55,38.43,18,1564,357.0,618,277,2.3549,INLAND,108900
1030,-120.25,38.55,15,4403,891.0,1103,433,3.0125,INLAND,111700
1031,-120.79,38.54,34,1133,254.0,495,187,2.05,INLAND,68900
1032,-120.8,38.51,23,1001,195.0,369,157,3.125,INLAND,96400
1033,-120.65,38.5,10,1783,337.0,638,262,2.65,INLAND,116700
1034,-120.76,38.47,17,1521,309.0,607,240,3.5,INLAND,123800
1035,-120.88,38.45,25,1374,297.0,657,288,2.5476,INLAND,97900
1036,-120.79,38.43,40,1391,246.0,546,214,3.9107,INLAND,129800
1037,-120.69,38.44,13,1473,265.0,597,228,4.2917,INLAND,121300
1038,-120.93,38.5,15,1248,234.0,529,216,3.3393,INLAND,107200
1039,-120.97,38.42,16,1748,322.0,4930,287,4.3029,INLAND,121900
1040,-120.87,38.37,28,3998,765.0,1614,698,2.8125,INLAND,113400
1041,-120.98,38.34,27,3471,653.0,1793,600,3.5508,INLAND,99100
1042,-120.88,38.32,18,2791,492.0,1187,438,3.2589,INLAND,103000
1043,-120.93,38.26,13,2084,449.0,834,305,3.2937,INLAND,114200
1044,-120.72,38.42,17,5654,1085.0,2237,953,3.0465,INLAND,144100
1045,-120.77,38.38,15,4221,816.0,1737,743,2.3125,INLAND,128600
1046,-120.72,38.38,9,1787,347.0,806,306,2.525,INLAND,157200
1047,-120.66,38.4,18,2144,420.0,985,381,3.175,INLAND,118500
1048,-120.65,38.42,23,1538,305.0,730,267,2.6078,INLAND,116700
1049,-120.62,38.39,15,3750,691.0,1444,603,2.7399,INLAND,134800
1050,-120.69,38.36,19,3267,614.0,1252,566,2.7236,INLAND,109900
1051,-120.71,38.34,16,1257,231.0,559,213,4.4531,INLAND,144300
1052,-120.8,38.31,37,1341,256.0,533,242,3.2135,INLAND,123600
1053,-121.83,39.76,12,9831,1921.0,4644,1775,3.1142,INLAND,112600
1054,-121.82,39.76,23,6010,1116.0,2710,1149,3.0068,INLAND,107300
1055,-121.86,39.78,12,7653,1578.0,3628,1494,3.0905,INLAND,117800
1056,-121.85,39.77,17,5273,1177.0,2446,1199,1.9362,INLAND,89900
1057,-121.84,39.76,14,2351,620.0,1215,548,2.3155,INLAND,102300
1058,-121.86,39.76,19,7254,1785.0,4030,1667,2.0094,INLAND,87300
1059,-121.89,39.76,15,10265,1860.0,4591,1906,3.07,INLAND,142600
1060,-121.88,39.74,12,14631,3298.0,7517,3262,1.6785,INLAND,153100
1061,-121.87,39.75,22,1707,296.0,822,297,3.6625,INLAND,126600
1062,-121.86,39.75,18,1651,309.0,856,293,3.5046,INLAND,118300
1063,-121.87,39.74,7,1737,290.0,747,265,3.9,INLAND,147000
1064,-121.85,39.75,39,568,127.0,267,129,1.8095,INLAND,78100
1065,-121.85,39.74,39,1139,265.0,623,264,2.2833,INLAND,85800
1066,-121.85,39.74,41,2901,689.0,1426,632,1.5633,INLAND,84500
